additional_image_link;age_group;availability;brand;Vercolor;condition;description;delivery_time;gender;google_product_category;gtin/ean;id;image_link;item_group_id;link;material;mpn;price;product_type;sale_price;shipping_price;size;stock;title;percentage_variant_sizes;percentage_product_sizes;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540768;000149-RDBK-S-01-10;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU44.5 / UK10;19;X-TALON 200 - RED/BLACK - EU44.5 / UK10;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540751;000149-RDBK-S-01-10.5;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU45 / UK10.5;17;X-TALON 200 - RED/BLACK - EU45 / UK10.5;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540782;000149-RDBK-S-01-11;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU45.5 / UK11;9;X-TALON 200 - RED/BLACK - EU45.5 / UK11;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540799;000149-RDBK-S-01-12;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU47 / UK12;2;X-TALON 200 - RED/BLACK - EU47 / UK12;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540942;000149-RDBK-S-01-13;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU48 / UK13;3;X-TALON 200 - RED/BLACK - EU48 / UK13;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540959;000149-RDBK-S-01-14;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU50 / UK14;3;X-TALON 200 - RED/BLACK - EU50 / UK14;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540928;000149-RDBK-S-01-3;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU35.5 / UK3;1;X-TALON 200 - RED/BLACK - EU35.5 / UK3;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540935;000149-RDBK-S-01-3.5;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU36 / UK3.5;1;X-TALON 200 - RED/BLACK - EU36 / UK3.5;100%;100%;Einde
https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-sole-1-17.jpg;Volwassenen;In stock;inov-8;RED/BLACK;Nieuw;X-TALON 200;1-2 dagen;UNI;187;5054167540904;000149-RDBK-S-01-9.5;https://inov-8.nl/wp-content/uploads/2018/11/X-TALON-200-RDBK-side-1-17.jpg;000149-RDBK-s-01;www.hb-sports.nl;Divers;Onbekend;130;Apparel & Accessories/Shoes;130;Gratis;EU44 / UK9.5;14;X-TALON 200 - RED/BLACK - EU44 / UK9.5;100%;100%;Einde
;Volwassenen;In stock;inov-8;BLACK;Nieuw;ALL TERRAIN PRO MITT;1-2 dagen;UNI;3598;5054167383143;000157-BK-02-L;https://www.inov-8.com/media/catalog/product/cache/image/1000x620/e9c3970ab036de70892d86c6d221abfe/a/l/all_terrain_pro_mitt.jpg;000157-BK-02;www.hb-sports.nl;Divers;Onbekend;30;Apparel & Accessories/Clothing/Uniforms/Sports Uniforms;30;Gratis;L;3;ALL TERRAIN PRO MITT - BLACK - L;100%;100%;Einde
